Designator,Mid X,Mid Y,Rotation,Layer
R108,173.095,-109.86,180.0,bottom
R109,178.595,-97.11,180.0,bottom
R11,156.175,-35.43,180.0,bottom
R110,180.595,-100.36,180.0,bottom
R111,178.595,-103.99,180.0,bottom
R112,186.0,-26.2,180.0,bottom
R113,186.795,-48.98,180.0,bottom
R114,186.655,-72.43,180.0,bottom
R115,186.955,-97.2,180.0,bottom
R116,188.33,-29.61,180.0,bottom
R117,188.795,-52.23,180.0,bottom
R118,188.905,-75.68,180.0,bottom
R119,189.205,-100.45,180.0,bottom
R12,153.925,-39.18,180.0,bottom
R120,186.08,-33.11,180.0,bottom
R121,186.795,-55.73,180.0,bottom
R122,186.655,-79.0,180.0,bottom
R123,186.955,-104.0,180.0,bottom
R124,191.56,-26.36,180.0,bottom
R125,192.425,-49.5,180.0,bottom
R126,192.35,-72.8,180.0,bottom
R127,192.665,-97.13,180.0,bottom
R128,191.58,-32.61,180.0,bottom
R129,192.445,-55.73,180.0,bottom
R13,159.425,-26.52,180.0,bottom
R130,192.33,-78.8,180.0,bottom
R131,192.415,-103.2,180.0,bottom
R132,193.56,-22.86,180.0,bottom
R133,194.675,-46.0,180.0,bottom
R134,194.6,-69.32,180.0,bottom
R135,194.915,-93.63,180.0,bottom
R136,193.83,-36.11,180.0,bottom
R137,194.695,-59.23,180.0,bottom
R138,194.58,-82.43,180.0,bottom
R139,194.665,-106.63,180.0,bottom
R14,161.675,-30.02,180.0,bottom
R140,191.31,-19.11,180.0,bottom
R141,192.425,-42.6,180.0,bottom
R142,192.35,-65.8,180.0,bottom
R143,192.665,-90.2,180.0,bottom
R144,191.4,-39.6,180.0,bottom
R145,192.445,-62.6,180.0,bottom
R146,192.33,-85.6,180.0,bottom
R147,192.415,-110.0,180.0,bottom
R148,197.0,-33.6,180.0,bottom
R149,197.925,-55.87,180.0,bottom
R15,159.425,-33.52,180.0,bottom
R150,198.06,-72.6,180.0,bottom
R151,198.165,-96.88,180.0,bottom
R152,199.33,-30.11,180.0,bottom
R153,200.175,-52.37,180.0,bottom
R154,200.31,-75.95,180.0,bottom
R155,200.415,-100.38,180.0,bottom
R156,202.675,-35.5,180.0,bottom
R157,203.44,-58.48,180.0,bottom
R158,203.675,-82.34,180.0,bottom
R159,203.74,-106.2,180.0,bottom
R16,165.075,-26.5,180.0,bottom
R160,197.08,-26.61,180.0,bottom
R161,197.925,-49.0,180.0,bottom
R162,198.06,-79.4,180.0,bottom
R163,198.165,-103.88,180.0,bottom
R164,204.925,-38.75,180.0,bottom
R165,205.69,-61.73,180.0,bottom
R166,205.85,-85.84,180.0,bottom
R167,206.24,-109.88,180.0,bottom
R168,202.675,-42.5,180.0,bottom
R169,203.44,-65.4,180.0,bottom
R17,167.325,-30.0,180.0,bottom
R170,203.6,-89.4,180.0,bottom
R171,203.74,-113.13,180.0,bottom
R172,202.685,-26.13,180.0,bottom
R173,203.465,-48.73,180.0,bottom
R174,203.56,-72.7,180.0,bottom
R175,203.895,-96.74,180.0,bottom
R176,204.835,-29.38,180.0,bottom
R177,205.715,-51.98,180.0,bottom
R178,205.81,-76.2,180.0,bottom
R179,205.895,-100.24,180.0,bottom
R18,164.9,-33.5,180.0,bottom
R180,202.685,-32.8,180.0,bottom
R181,203.465,-55.73,180.0,bottom
R182,203.56,-79.7,180.0,bottom
R183,203.645,-103.49,180.0,bottom
R184,208.205,-26.61,180.0,bottom
R185,209.095,-49.4,180.0,bottom
R186,209.08,-73.0,180.0,bottom
R187,209.165,-97.13,180.0,bottom
R188,208.33,-39.61,180.0,bottom
R189,208.965,-59.84,180.0,bottom
R19,170.675,-20.0,180.0,bottom
R190,209.08,-79.0,180.0,bottom
R191,209.335,-103.88,180.0,bottom
R192,210.455,-22.86,180.0,bottom
R193,211.27,-45.73,180.0,bottom
R194,211.33,-69.68,180.0,bottom
R195,211.415,-93.63,180.0,bottom
R196,210.53,-35.98,180.0,bottom
R197,211.215,-56.34,180.0,bottom
R198,211.08,-82.59,180.0,bottom
R199,211.665,-107.63,180.0,bottom
R2,219.63,-110.485,0.0,bottom
R20,172.675,-23.52,180.0,bottom
R200,208.205,-19.61,180.0,bottom
R201,209.17,-42.48,180.0,bottom
R202,209.08,-66.18,180.0,bottom
R203,209.165,-90.2,180.0,bottom
R204,208.33,-32.61,180.0,bottom
R205,208.965,-53.0,180.0,bottom
R206,209.08,-86.09,180.0,bottom
R207,209.415,-110.88,180.0,bottom
R208,213.955,-33.0,180.0,bottom
