Designator,Footprint,Quantity,Value,LCSC Part #
J1,PinHeader_1x18_P2.54mm_Horizontal,1,Conn_01x18_Pin,
"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8",TO-92,8,NPN,
"R1, R10, R11, R12, R13, R14, R15, R16, R2, R3, R4, R5, R6, R7, R8, R9",0603,16,1kΩ,
