Designator,Footprint,Quantity,Value,LCSC Part #
J2,PinHeader_1x21_P2.54mm_Horizontal,1,Conn_01x21_Pin,
"Q1, Q2, Q3, Q4, Q5, Q6",TO-92,6,NPN,
"R1, R10, R11, R2, R3, R4, R5, R6, R7, R8, R9",0603,11,1kΩ,
